;link;russian_name;original_name;country;film_type;rate
192;kinopoisk.ru/film/77548/;Труп невесты;Corpse Bride, 2005;США, Великобритания;мультфильм, мюзикл;8.1
193;kinopoisk.ru/film/378140/;Рок-н-рольщик;RocknRolla, 2008;Великобритания, США;криминал, боевик;8.1
194;kinopoisk.ru/film/7226/;Догвилль;Dogville, 2003;Дания, Нидерланды;триллер, драма;8.1
195;kinopoisk.ru/film/81297/;Малышка на миллион;Million Dollar Baby, 2004;США;драма, спорт;8.1
196;kinopoisk.ru/film/341/;Амели;Fabuleux destin d'Amélie Poulain, Le, 2001;Франция, Германия;мелодрама, комедия;8.1
197;kinopoisk.ru/film/461939/;Линкольн для адвоката;Lincoln Lawyer, The, 2011;США;криминал, триллер;8.1
198;kinopoisk.ru/film/77265/;Шерлок Холмс и доктор Ватсон: Кровавая надпись;1979;СССР;криминал, детектив;8.1
199;kinopoisk.ru/film/738/;Жизнь Дэвида Гейла;Life of David Gale, The, 2002;Великобритания, Германия;триллер, драма;8.0
200;kinopoisk.ru/film/568289/;Богемская рапсодия;Bohemian Rhapsody, 2018;Великобритания, США;биография, музыка;8.0
201;kinopoisk.ru/film/944098/;Три билборда на границе Эббинга, Миссури;Three Billboards Outside Ebbing, Missouri, 2017;Великобритания, США;драма, криминал;8.0
202;kinopoisk.ru/film/469/;Однажды в Америке;Once Upon a Time in America, 1983;Италия, США;драма, криминал;8.0
203;kinopoisk.ru/film/104938/;В погоне за счастьем;Pursuit of Happyness, The, 2006;США;драма, биография;8.0
204;kinopoisk.ru/film/6039/;Маска;Mask, The, 1994;США;комедия, фэнтези;8.0
205;kinopoisk.ru/film/394/;Бешеные псы;Reservoir Dogs, 1991;США;криминал, драма;8.0
206;kinopoisk.ru/film/539/;Умница Уилл Хантинг;Good Will Hunting, 1997;США;драма, мелодрама;8.0
207;kinopoisk.ru/film/5059/;Знакомьтесь, Джо Блэк;Meet Joe Black, 1998;США;мелодрама, фэнтези;8.0
208;kinopoisk.ru/film/255611/;Искупление;Atonement, 2007;Великобритания, Франция;драма, мелодрама;8.0
209;kinopoisk.ru/film/471/;Крепкий орешек;Die Hard, 1988;США;боевик, триллер;8.0
210;kinopoisk.ru/film/588672/;Судья;Judge, The, 2014;США;драма;8.0
211;kinopoisk.ru/film/6764/;Последний самурай;Last Samurai, The, 2003;США, Новая Зеландия;боевик, драма;8.0
212;kinopoisk.ru/film/1846/;Небесный замок Лапута;Tenkû no shiro Rapyuta, 1986;Япония;аниме, мультфильм;8.0
213;kinopoisk.ru/film/692861/;Исчезнувшая;Gone Girl, 2014;США;триллер, драма;8.0
214;kinopoisk.ru/film/276762/;Гарри Поттер и Дары Смерти: Часть I;Harry Potter and the Deathly Hallows: Part 1, 2010;Великобритания, США;фэнтези, приключения;8.0
215;kinopoisk.ru/film/3563/;Трасса 60;Interstate 60, 2001;Канада, США;фантастика, фэнтези;8.0
216;kinopoisk.ru/film/596125/;Гонка;Rush, 2013;Великобритания, Германия;спорт, драма;8.0
217;kinopoisk.ru/film/572553/;Маленький принц;Le Petit Prince, 2015;Франция, Канада;мультфильм, фэнтези;8.0
218;kinopoisk.ru/film/386/;Чужой;Alien, 1979;Великобритания, США;ужасы, фантастика;8.0
219;kinopoisk.ru/film/48356/;Гарри Поттер и Орден Феникса;Harry Potter and the Order of the Phoenix, 2007;Великобритания, США;фэнтези, приключения;8.0
