;name;salary;company;link
187;Data Analyst;-;Самокат (ООО Умный ритейл);https://hh.ru/vacancy/51947210?query=data%20analyst
188;Риск-Аналитик (Data scientist);-;ID Finance;https://hh.ru/vacancy/51710019?query=data%20analyst
189;Data Scientist;-;Бэнкс Софт Системс;https://hh.ru/vacancy/52046750?query=data%20analyst
190;Аналитик-разработчик / Data scientist (Middle/Senior);-;Компания «СПОРТМАСТЕР», SM Lab;https://hh.ru/vacancy/48252917?query=data%20analyst
191;Старший аналитик данных (маркетинг, продукт);-;ООО ЛингуаЛео;https://hh.ru/vacancy/51106479?query=data%20analyst
192;Digital Analyst;-;HUAWEI;https://hh.ru/vacancy/52069357?query=data%20analyst
193;Product Analyst;-;Chainstack;https://hh.ru/vacancy/52101087?query=data%20analyst
194;Стажёр - Бизнес-Аналитик (Data) – Бизнес-Развитие и Стратегия, Социальная коммерция;-;Ozon Информационные технологии;https://hh.ru/vacancy/51964986?query=data%20analyst
195;Data analyst (Устройства Самообслуживания);-;Сбер. IT;https://hh.ru/vacancy/50687378?query=data%20analyst
196;Senior data analyst;-;ООО ЦРПТ (Центр развития перспективных технологий);https://hh.ru/vacancy/50682349?query=data%20analyst
197;Product Analyst в Student Cabinet;-;Skyeng;https://hh.ru/vacancy/51946210?query=data%20analyst
198;Data-scientist/senior data-scientist;-;ГОРОД;https://hh.ru/vacancy/51918157?query=data%20analyst
199;Data analyst/Риск менеджер;-;«РОСБАНК, Societe Generale Group»;https://hh.ru/vacancy/51426828?query=data%20analyst
200;Senior / Teamlead Analyst BI;-;SberAutoTech;https://hh.ru/vacancy/51857294?query=data%20analyst
201;Data Engineer;до350000руб.;Hi, Rockits!;https://hh.ru/vacancy/51800885?query=data%20analyst
202;Big Data Developer;-;ООО G5 Entertainment AB;https://hh.ru/vacancy/46571284?query=data%20analyst
203;HR Data Analyst;-;Wella Company;https://hh.ru/vacancy/51910452?query=data%20analyst
204;Бизнес аналитик;от70000руб.;ИП Ельмикеев Евгений Иванович;https://hh.ru/vacancy/52045107?query=data%20analyst
205;Data Scientist (Middle);-;Билайн;https://hh.ru/vacancy/50630870?query=data%20analyst
206;Middle Product Analyst;-;Deus Craft;https://hh.ru/vacancy/50844390?query=data%20analyst
207;Product research / Финансовый аналитик;55000–73000руб.;Udalenno;https://hh.ru/vacancy/52123973?query=data%20analyst
208;Data Analyst;-;Itransition;https://hh.ru/vacancy/46111371?query=data%20analyst
209;Data engineer;-;SkillFactory;https://hh.ru/vacancy/52111769?query=data%20analyst
210;Data Analyst Big Data;-;ООО РСХБ-Интех;https://hh.ru/vacancy/51947368?query=data%20analyst
211;Веб-аналитик / Web Data Analyst / Web-аналитик (Performance Marketing);-;ООО Омнимикс;https://hh.ru/vacancy/51640150?query=data%20analyst
212;Clients data analyst;-;ИВ РОШЕ;https://hh.ru/vacancy/48790378?query=data%20analyst
213;Ведущий аналитик данных;-;Группа Самолет;https://hh.ru/vacancy/51050789?query=data%20analyst
214;Аналитик данных/Data analyst;-;ООО ГПМ РТВ;https://hh.ru/vacancy/51027291?query=data%20analyst
215;BigData аналитик / BigData Analyst;-;АО ГНИВЦ;https://hh.ru/vacancy/48473521?query=data%20analyst
216;Продуктовый аналитик;-;ID Finance;https://hh.ru/vacancy/51002946?query=data%20analyst
217;Senior Data Scientist ( Computer Vision );-;Insetry.;https://hh.ru/vacancy/50946324?query=data%20analyst
